epoch,box_loss,cls_loss,dfl_loss
1,1.84867,3.58736,0.00592
2,1.72148,2.22145,0.00539
3,1.7183,1.83665,0.00536
4,1.71911,1.69645,0.00537
5,1.69875,1.59474,0.00525
6,1.68916,1.52099,0.00527
7,1.68824,1.47699,0.00532
8,1.68375,1.41921,0.00518
9,1.68033,1.4003,0.00521
10,1.66176,1.35704,0.00518
11,1.67449,1.34045,0.00515
12,1.6629,1.28894,0.00518
13,1.66243,1.25913,0.00511
14,1.66306,1.26543,0.00516
15,1.64998,1.23981,0.00516
16,1.64713,1.21599,0.00507
17,1.64116,1.20886,0.0051
18,1.63881,1.20077,0.00509
19,1.64496,1.17721,0.00502
20,1.632,1.16029,0.00506
21,1.6384,1.14883,0.00503
22,1.63246,1.14321,0.00504
23,1.62823,1.13308,0.00497
24,1.61955,1.11062,0.00496
25,1.61917,1.10486,0.00496
26,1.60115,1.08446,0.00494
27,1.60575,1.08177,0.0049
28,1.60069,1.08642,0.00489
29,1.60053,1.0658,0.00488
30,1.60397,1.06564,0.00494
31,1.60017,1.05385,0.00485
32,1.59819,1.04517,0.00485
33,1.58209,1.04077,0.00482
34,1.58101,1.02735,0.00483
35,1.56831,1.0157,0.00482
36,1.57718,1.01997,0.00478
37,1.57303,1.00245,0.00475
38,1.55887,1.00207,0.00477
39,1.56168,0.98837,0.00474
40,1.56508,0.98862,0.00474
41,1.55459,0.98011,0.00472
42,1.5552,0.98225,0.00472
43,1.546,0.96433,0.00469
44,1.55462,0.96674,0.00469
45,1.54852,0.96006,0.00464
46,1.5433,0.95582,0.00467
47,1.52789,0.93286,0.00464
48,1.54097,0.94536,0.00458
49,1.52518,0.9308,0.00465
50,1.53668,0.93551,0.00456
51,1.52968,0.93761,0.00458
52,1.51868,0.91147,0.00456
53,1.51257,0.9074,0.00457
54,1.51236,0.90792,0.00451
55,1.51439,0.91219,0.00459
56,1.50125,0.89444,0.00445
57,1.51353,0.8928,0.00451
58,1.49844,0.88892,0.00447
59,1.49643,0.87887,0.0045
60,1.487,0.86798,0.00448
61,1.48244,0.86312,0.00444
62,1.47442,0.85415,0.00446
63,1.48001,0.85713,0.00445
64,1.47438,0.85497,0.00444
65,1.47699,0.84851,0.0044
66,1.47297,0.84705,0.0044
67,1.47382,0.84072,0.00437
68,1.46556,0.82882,0.00432
69,1.46756,0.84377,0.00438
70,1.47088,0.83322,0.00437
71,1.4597,0.82215,0.00431
72,1.45872,0.82856,0.00434
73,1.45265,0.82027,0.00427
74,1.44935,0.81467,0.00432
75,1.4513,0.81348,0.00432
76,1.44487,0.80867,0.00431
77,1.44704,0.81892,0.00421
78,1.43786,0.79833,0.00421
79,1.4416,0.80264,0.00427
80,1.43402,0.79058,0.00424
81,1.42484,0.79218,0.00423
82,1.42789,0.79114,0.00417
83,1.42886,0.77949,0.00421
84,1.41981,0.77965,0.00417
85,1.42384,0.77543,0.00417
86,1.4135,0.77162,0.00416
87,1.41019,0.76693,0.00418
88,1.41578,0.77184,0.00415
89,1.4034,0.76098,0.00412
90,1.4035,0.7622,0.00413
91,1.37908,0.70264,0.0046
92,1.35066,0.65949,0.00449
93,1.34526,0.64989,0.00445
94,1.33201,0.6413,0.00442
95,1.32779,0.63198,0.00442
96,1.32848,0.63411,0.00436
97,1.32562,0.62886,0.00439
