epoch,mAP50
1,0.4091
2,0.53117
3,0.57646
4,0.62756
5,0.60443
6,0.66702
7,0.65999
8,0.63717
9,0.67833
10,0.71022
11,0.71223
12,0.73594
13,0.70689
14,0.73566
15,0.72516
16,0.72318
17,0.73246
18,0.72737
19,0.74937
20,0.75897
21,0.7621
22,0.76134
23,0.7614
24,0.74693
25,0.76374
26,0.76711
27,0.77205
28,0.76015
29,0.78324
30,0.75167
31,0.78258
32,0.7853
33,0.79269
34,0.7784
35,0.7846
36,0.78536
37,0.78463
38,0.79305
39,0.79984
40,0.79679
41,0.7971
42,0.8041
43,0.80193
44,0.79896
45,0.80558
46,0.80916
47,0.81058
48,0.81085
49,0.80489
50,0.81154
51,0.8087
52,0.81558
53,0.81155
54,0.81135
55,0.81489
56,0.81463
57,0.81425
58,0.81855
59,0.82211
60,0.8211
61,0.8188
62,0.82153
63,0.81867
64,0.81568
65,0.81676
66,0.8209
67,0.81981
68,0.81892
69,0.82071
70,0.82454
71,0.81987
72,0.82303
73,0.82618
74,0.82655
75,0.82541
76,0.82591
77,0.82495
78,0.82511
79,0.82584
80,0.82703
81,0.82694
82,0.82676
83,0.82685
84,0.828
85,0.827
86,0.82867
87,0.82776
88,0.82665
89,0.82675
90,0.82747
91,0.82094
92,0.82064
93,0.8229
94,0.82196
95,0.82324
96,0.82369
97,0.82313
