epoch,mAP50
1,0.27778
2,0.45232
3,0.45848
4,0.46057
5,0.60442
6,0.60975
7,0.5498
8,0.62028
9,0.5735
10,0.65832
11,0.65395
12,0.69343
13,0.59492
14,0.7083
15,0.72435
16,0.6987
17,0.72118
18,0.73118
19,0.73732
20,0.65763
21,0.73664
22,0.73849
23,0.67075
24,0.7506
25,0.75018
26,0.75522
27,0.75931
28,0.73702
29,0.77569
30,0.74548
31,0.77107
32,0.75451
33,0.77726
34,0.76497
35,0.76592
36,0.7622
37,0.78568
38,0.76924
39,0.79168
40,0.79662
41,0.79541
42,0.79338
43,0.79485
44,0.79603
45,0.78899
46,0.8054
47,0.79587
48,0.80094
49,0.7938
50,0.80311
51,0.80963
52,0.80547
53,0.80231
54,0.80733
55,0.80745
56,0.81182
57,0.80855
58,0.81563
59,0.81551
60,0.81002
61,0.8106
62,0.81414
63,0.81539
64,0.81866
65,0.81861
66,0.82042
67,0.82005
68,0.81715
69,0.82126
70,0.81758
71,0.81937
72,0.81922
