epoch,box_loss,cls_loss,dfl_loss
1,1.84867,3.58736,0.00592
2,1.72124,2.21463,0.00538
3,1.71309,1.8336,0.00533
4,1.71741,1.68509,0.00537
5,1.70179,1.58365,0.00526
6,1.68867,1.50745,0.00526
7,1.68874,1.46763,0.00533
8,1.67897,1.40731,0.00518
9,1.67543,1.38883,0.00519
10,1.66542,1.34149,0.00518
11,1.67335,1.32274,0.00513
12,1.65485,1.27403,0.00515
13,1.65419,1.24788,0.00508
14,1.65071,1.24392,0.00511
15,1.63898,1.20837,0.00511
16,1.6409,1.19279,0.00505
17,1.63434,1.18523,0.00507
18,1.62721,1.1819,0.00505
19,1.62908,1.1462,0.00495
20,1.60937,1.13251,0.00497
21,1.61681,1.12909,0.00494
22,1.61083,1.11729,0.00497
23,1.60924,1.09897,0.0049
24,1.59683,1.0816,0.00487
25,1.59488,1.07047,0.00487
26,1.5804,1.04559,0.00486
27,1.5783,1.04683,0.00479
28,1.57636,1.03435,0.00479
29,1.57554,1.02129,0.00477
30,1.57014,1.02289,0.0048
31,1.56547,1.00816,0.00471
32,1.56121,0.99598,0.0047
33,1.55052,0.99646,0.00469
34,1.54611,0.97498,0.00468
35,1.53,0.95728,0.00467
36,1.53725,0.9623,0.00462
37,1.53306,0.94931,0.00459
38,1.51784,0.9439,0.0046
39,1.51396,0.92835,0.00455
40,1.51951,0.92687,0.00454
41,1.47538,0.85076,0.00505
42,1.45518,0.81417,0.00494
43,1.44802,0.80538,0.00492
44,1.4433,0.79769,0.00483
45,1.4292,0.77407,0.00481
46,1.42816,0.77197,0.00482
47,1.42186,0.76745,0.00475
48,1.41368,0.75689,0.00475
49,1.41224,0.75483,0.00473
50,1.41014,0.755,0.00469
