epoch,box_loss,cls_loss,dfl_loss
1,3.8156,3.63992,2.58413
2,2.58289,2.31656,1.56878
3,2.42021,2.21394,1.44238
4,2.34164,2.14362,1.37551
5,2.24592,2.03813,1.32768
6,2.20187,1.98084,1.3001
7,2.16622,1.89418,1.27889
8,2.12326,1.81879,1.25408
9,2.11017,1.79221,1.24681
10,2.06608,1.73759,1.23427
11,1.99493,1.72025,1.24023
12,1.97686,1.68227,1.23034
13,1.96512,1.65439,1.2257
14,1.93879,1.61797,1.21199
15,1.9263,1.60218,1.2052
16,1.90469,1.56424,1.19023
17,1.89757,1.55435,1.19122
18,1.88978,1.54333,1.1855
19,1.87643,1.52826,1.18005
20,1.86082,1.51818,1.17251
