epoch,box_loss,cls_loss,dfl_loss
2,1.75857,2.31465,0.00553
3,1.76336,1.91649,0.00553
1,1.88972,3.76636,0.00608
4,1.79596,1.7424,0.00568
2,1.75857,2.31465,0.00553
5,1.77009,1.62097,0.00552
3,1.76336,1.91649,0.00553
6,1.74034,1.54563,0.00545
4,1.79596,1.7424,0.00568
7,1.73079,1.47715,0.00549
5,1.77009,1.62097,0.00552
8,1.71871,1.42692,0.00532
6,1.74034,1.54563,0.00545
9,1.71425,1.41535,0.00534
7,1.73079,1.47715,0.00549
10,1.7002,1.37512,0.00532
8,1.71871,1.42692,0.00532
11,1.7063,1.33922,0.00526
9,1.71425,1.41535,0.00534
12,1.69419,1.30812,0.0053
10,1.7002,1.37512,0.00532
13,1.69538,1.27758,0.00524
11,1.7063,1.33922,0.00526
14,1.69318,1.28887,0.00527
12,1.69419,1.30812,0.0053
15,1.684,1.23713,0.00529
13,1.69538,1.27758,0.00524
16,1.68759,1.22182,0.00523
14,1.69318,1.28887,0.00527
17,1.67695,1.21667,0.00523
15,1.684,1.23713,0.00529
18,1.67662,1.20753,0.00523
16,1.68759,1.22182,0.00523
19,1.68,1.18172,0.00515
17,1.67695,1.21667,0.00523
20,1.66224,1.17409,0.00518
18,1.67662,1.20753,0.00523
21,1.66233,1.17441,0.00512
19,1.68,1.18172,0.00515
22,1.65944,1.16361,0.00514
20,1.66224,1.17409,0.00518
23,1.65896,1.15138,0.00508
21,1.66233,1.17441,0.00512
24,1.64707,1.12404,0.00506
22,1.65944,1.16361,0.00514
25,1.64937,1.12287,0.00508
23,1.65896,1.15138,0.00508
26,1.63282,1.09239,0.00507
24,1.64707,1.12404,0.00506
27,1.6342,1.09336,0.00501
25,1.64937,1.12287,0.00508
28,1.63208,1.09459,0.00502
26,1.63282,1.09239,0.00507
29,1.63417,1.08529,0.00501
27,1.6342,1.09336,0.00501
