epoch,box_loss,cls_loss,dfl_loss
1,1.83024,3.382,0.00584
2,1.72426,2.1212,0.00544
3,1.71925,1.78895,0.00541
4,1.72266,1.64774,0.0054
5,1.7092,1.55309,0.0054
6,1.69408,1.48597,0.00528
7,1.68277,1.43737,0.00527
8,1.67956,1.39915,0.00524
9,1.66972,1.36545,0.00519
10,1.65231,1.32004,0.00514
11,1.6264,1.25473,0.00574
12,1.60697,1.20148,0.00564
13,1.60026,1.17348,0.00559
14,1.583,1.1271,0.00553
15,1.56713,1.10233,0.00543
16,1.56104,1.07502,0.0054
17,1.5456,1.03995,0.00531
18,1.532,1.02706,0.00525
19,1.52194,1.01741,0.00521
20,1.51126,0.98071,0.00522
