epoch,mAP50
2,0.45232
3,0.45848
1,0.27778
4,0.46057
2,0.45232
5,0.60442
3,0.45848
6,0.60975
4,0.46057
7,0.5498
5,0.60442
8,0.62028
6,0.60975
9,0.5735
7,0.5498
10,0.65832
8,0.62028
11,0.65395
9,0.5735
12,0.69343
10,0.65832
13,0.59492
11,0.65395
14,0.7083
12,0.69343
15,0.72435
13,0.59492
16,0.6987
14,0.7083
17,0.72118
15,0.72435
18,0.73118
16,0.6987
19,0.73732
17,0.72118
20,0.65763
18,0.73118
21,0.73664
19,0.73732
22,0.73849
20,0.65763
23,0.67075
21,0.73664
24,0.7506
22,0.73849
25,0.75018
23,0.67075
26,0.75522
24,0.7506
27,0.75931
25,0.75018
28,0.73702
26,0.75522
29,0.77569
27,0.75931
